ID,Label
0,17
1,21
2,7
3,20
4,7
5,17
6,5
7,17
8,21
9,3
10,22
11,23
12,7
13,16
14,17
15,7
16,5
17,23
18,22
19,7
20,23
21,17
22,23
23,11
24,17
25,23
26,8
27,17
28,16
29,23
30,11
31,17
32,17
33,11
34,7
35,21
36,8
37,23
38,17
39,8
40,7
41,17
42,23
43,11
44,16
45,22
46,23
47,23
48,17
49,5
50,15
51,19
52,15
53,17
54,5
55,11
56,5
57,7
58,7
59,5
60,5
61,23
62,22
63,7
64,12
65,17
66,23
67,17
68,7
69,17
70,23
71,17
72,15
73,23
74,15
75,23
76,23
77,18
78,23
79,5
80,23
81,17
82,20
83,17
84,6
85,10
86,19
87,7
88,23
89,5
90,7
91,22
92,20
93,21
94,11
95,23
96,11
97,10
98,19
99,7
100,17
101,24
102,1
103,23
104,17
105,23
106,22
107,17
108,17
109,11
110,17
111,7
112,8
113,22
114,23
115,23
116,7
117,8
118,23
119,3
120,17
121,23
122,8
123,7
124,17
125,23
126,11
127,21
128,7
129,20
130,24
131,7
132,17
133,21
134,11
135,11
136,16
137,17
138,17
139,11
140,16
141,17
142,17
143,11
144,18
145,21
146,20
147,11
148,8
149,11
150,20
151,20
152,17
153,12
154,17
155,15
156,22
157,15
158,23
159,16
160,23
161,20
162,23
163,23
164,8
165,21
166,11
167,23
168,20
169,17
170,17
171,21
172,16
173,16
174,14
175,17
176,17
177,15
178,17
179,17
180,22
181,5
182,21
183,21
184,17
185,15
186,23
187,23
188,23
189,17
190,23
191,20
192,5
193,17
194,17
195,11
196,6
197,20
198,18
199,20
200,22
201,1
202,22
203,23
204,15
205,23
206,17
207,20
208,11
209,23
210,11
211,23
212,24
213,17
214,1
215,17
216,3
217,7
218,6
219,23
220,10
221,5
222,17
223,17
224,23
225,10
226,8
227,23
228,15
229,10
230,7
231,17
232,24
233,7
234,15
235,10
236,22
237,17
238,23
239,21
240,18
241,23
242,11
243,23
244,21
245,22
246,17
247,23
248,3
249,17
250,17
251,11
252,7
253,4
254,20
255,15
256,23
257,22
258,23
259,23
260,17
261,10
262,11
263,23
264,20
265,10
266,17
267,17
268,21
269,10
270,11
271,11
272,10
273,20
274,23
275,22
276,23
277,11
278,8
279,15
280,17
281,11
282,6
283,5
284,23
285,6
286,17
287,22
288,23
289,20
290,8
291,23
292,21
293,23
294,18
295,20
296,15
297,22
298,23
299,21
300,23
301,3
302,23
303,22
304,22
305,22
306,11
307,6
308,24
309,23
310,23
311,22
312,15
313,7
314,21
315,17
316,7
317,7
318,3
319,17
320,17
321,11
322,23
323,20
324,7
325,17
326,17
327,11
328,23
329,5
330,20
331,16
332,17
333,21
334,17
335,17
336,23
337,11
338,8
339,5
340,17
341,17
342,5
343,15
344,22
345,10
346,21
347,20
348,17
349,17
350,17
351,21
352,16
353,10
354,22
355,8
356,7
357,17
358,23
359,22
360,7
361,23
362,17
363,17
364,8
365,24
366,22
367,20
368,17
369,21
370,20
