ID,Label
0,18
1,21
2,12
3,12
4,4
5,2
6,23
7,15
8,13
9,18
10,4
11,2
12,8
13,1
14,13
15,8
16,9
17,5
18,5
19,11
20,4
21,14
22,8
23,16
24,18
25,16
26,17
27,4
28,15
29,1
30,1
31,4
32,12
33,21
34,12
35,4
36,3
37,12
38,13
39,5
40,14
41,7
42,13
43,6
44,19
45,2
46,0
47,11
48,20
49,3
50,0
51,3
52,21
53,14
54,4
55,21
56,14
57,22
58,5
59,0
60,1
61,6
62,7
63,2
64,20
65,11
66,12
67,5
68,9
69,8
70,4
71,23
72,7
73,3
74,14
75,6
76,2
77,21
78,4
79,3
80,8
81,6
82,8
83,4
84,19
85,12
86,8
87,6
88,16
89,4
90,14
91,8
92,2
93,6
94,13
95,1
96,7
97,4
98,5
99,8
100,19
101,11
102,10
103,4
104,4
105,2
106,1
107,20
108,14
109,4
110,7
111,2
112,3
113,19
114,11
115,3
116,4
117,1
118,2
119,20
120,13
121,5
122,13
123,3
124,16
125,6
126,0
127,16
128,2
129,22
130,17
131,23
132,7
133,13
134,13
135,11
136,21
137,13
138,16
139,18
140,17
141,19
142,4
143,2
144,23
145,23
146,21
147,14
148,5
149,12
150,13
151,13
152,11
153,6
154,11
155,10
156,3
157,13
158,13
159,3
160,2
161,19
162,16
163,22
164,17
165,8
166,14
167,13
168,3
169,1
170,19
171,1
172,22
173,1
174,11
175,7
176,7
177,5
178,7
179,6
180,16
181,16
182,3
183,4
184,1
185,23
186,18
187,7
188,3
189,6
190,7
191,6
192,20
193,20
194,15
195,2
196,12
197,5
198,18
199,8
200,15
201,4
202,18
203,8
204,11
205,15
206,11
207,21
208,14
209,13
210,5
211,13
212,3
213,17
214,16
215,7
216,4
217,7
218,13
219,18
220,0
221,0
222,1
223,22
224,14
225,11
226,11
227,12
228,2
229,13
230,11
231,6
232,23
233,14
234,6
235,13
236,16
237,13
238,3
239,17
240,7
241,4
242,4
243,7
244,5
245,0
246,16
247,1
248,9
249,7
250,18
251,1
252,2
253,13
254,1
255,7
256,4
257,3
258,13
259,5
260,0
261,3
262,21
263,18
264,8
265,13
266,4
267,0
268,21
269,1
270,17
271,8
272,4
273,21
274,6
275,1
276,13
277,13
278,12
279,22
280,6
281,9
282,12
283,13
284,0
285,3
286,4
287,0
288,2
289,17
290,8
291,5
292,0
293,6
294,13
295,11
296,8
297,0
298,8
299,3
300,3
301,7
302,2
303,14
304,6
305,13
306,11
307,12
308,3
309,14
310,5
311,20
312,13
313,15
314,5
315,15
316,11
317,1
318,7
319,19
320,21
321,4
322,18
323,11
324,5
325,1
326,13
327,14
328,8
329,13
330,20
331,17
332,8
333,1
334,6
335,2
336,3
337,3
338,11
339,8
340,13
341,2
342,13
343,17
344,0
345,22
346,21
347,17
348,3
349,11
350,3
351,2
352,14
353,13
354,3
355,9
356,5
357,5
358,13
359,23
360,3
361,11
362,11
363,3
364,8
365,21
366,0
367,0
368,21
369,6
370,3
371,18
372,4
373,21
374,4
375,21
376,13
377,20
378,6
379,4
380,12
381,11
382,3
383,2
384,21
385,6
386,18
387,1
388,0
389,22
390,8
391,2
392,11
393,6
394,5
395,0
396,4
397,3
398,5
399,15
400,3
401,22
402,11
403,15
404,16
405,4
406,18
407,17
408,3
409,8
410,11
411,8
412,3
413,0
414,12
415,0
416,22
417,1
418,6
419,13
420,6
421,12
422,12
423,3
424,3
425,2
426,13
427,20
428,7
429,1
430,6
431,3
432,22
433,15
434,4
435,23
436,23
437,5
438,7
439,3
440,20
441,3
442,23
443,15
444,7
445,7
446,8
447,23
448,11
449,21
450,18
451,19
452,0
453,16
454,2
455,7
456,5
457,14
458,3
459,15
460,13
461,18
462,23
463,4
464,1
465,7
466,23
467,0
468,16
469,3
470,13
471,22
472,15
473,5
474,22
475,5
476,14
477,12
478,15
479,18
480,1
481,16
482,13
483,5
484,0
485,5
486,7
487,13
488,19
489,23
490,22
491,11
492,11
493,21
494,1
495,13
496,2
497,11
498,13
499,3
500,13
501,7
502,10
503,8
504,15
505,16
506,18
507,4
508,12
509,3
510,11
511,20
512,15
513,0
514,23
515,21
516,19
517,20
518,5
519,12
520,21
521,16
522,15
523,14
524,4
525,3
526,3
527,14
528,17
529,4
530,11
531,4
532,2
533,3
534,19
535,12
536,18
537,5
538,7
539,5
540,17
541,12
542,23
543,23
544,20
545,1
546,23
547,22
548,20
549,16
550,13
551,4
552,9
553,1
554,17
555,2
556,13
557,16
558,7
559,4
560,13
561,8
562,3
563,11
564,1
565,15
566,4
567,6
568,11
569,7
570,3
571,12
572,3
573,16
574,4
575,13
576,18
577,8
578,2
